Company name,Deal date,Investment amount,Incorporation date,Current stage,Exit date,Exit price
Private Planet,2014/7/1,26250,26/04/2006,Dead,27/06/2019,0
Private Planet,2012/2/3,83371,26/04/2006,Dead,27/06/2019,0
Private Planet,2010/10/13,184108,26/04/2006,Dead,27/06/2019,0
Pro-Cure Therapeutics,2009/12/2,717500,14/05/2001,Dead,17/03/2016,0
Pro-Cure Therapeutics,2010/8/27,600000,14/05/2001,Dead,17/03/2016,0
Pro-Cure Therapeutics,2011/8/12,271707,14/05/2001,Dead,17/03/2016,0
ProAirsport,2015/8/26,53482,06/06/2014,Dead,10/05/2017,0
ProAirsport,2014/10/21,37527,06/06/2014,Dead,10/05/2017,0
ProFound Mining,2014/10/27,248428,06/12/2013,Dead,07/03/2017,0
ProKyma,2013/6/17,78000,29/12/2005,Dead,24/09/2019,0
ProKyma,2012/1/9,100000,29/12/2005,Dead,24/09/2019,0
ProProject,2018/3/31,29998,07/11/2014,Dead,26/03/2019,0
ProProject,2015/3/16,54977,07/11/2014,Dead,26/03/2019,0
Probond Marine,2017/3/17,20000,24/07/2015,Dead,19/03/2019,0
Process Technologies,2013/12/24,150000,30/04/2003,Dead,09/08/2019,0
Profit Optimiser,2011/4/13,40000,07/09/2007,Dead,05/06/2018,0
ProfitBees,2016/5/13,15000,18/11/2015,Dead,24/04/2018,0
Progenitor,2013/3/11,130000,12/02/2010,Dead,25/10/2018,0
Project SLC,2016/5/27,20000,15/04/2011,Dead,27/11/2018,0
Project X Advertising,2018/4/11,90000,07/04/2016,Dead,07/05/2019,0
Promotor,2015/5/15,50000,25/06/2013,Dead,04/01/2019,0
Promotor,2016/7/6,80000,25/06/2013,Dead,04/01/2019,0
Pronto,2015/8/27,935611,03/09/2014,Dead,12/09/2016,0
PropTech Insights,2016/8/15,27810,24/03/2014,Dead,06/11/2018,0
PropTech Insights,2016/3/24,50000,24/03/2014,Dead,06/11/2018,0
PropTech Insights,2015/10/16,25500,24/03/2014,Dead,06/11/2018,0
PropTech Insights,2015/1/15,46666,24/03/2014,Dead,06/11/2018,0
Propeller Holdings,2011/6/6,200006,29/11/2007,Dead,20/05/2015,0
Propeller Holdings,2013/4/30,200000,29/11/2007,Dead,20/05/2015,0
Propeller Holdings,2013/12/16,300000,29/11/2007,Dead,20/05/2015,0
Properr,2017/6/20,1199714,15/12/2015,Dead,07/04/2020,0
Properr,2016/2/3,274995,15/12/2015,Dead,07/04/2020,0
Propertons,2018/3/13,120001,22/12/2016,Dead,18/12/2019,0
Propertons,2017/9/15,77500,22/12/2016,Dead,18/12/2019,0
Property Network,2012/5/31,249804,26/04/2011,Dead,12/04/2016,0
Property Network,2013/1/14,1609996,26/04/2011,Dead,12/04/2016,0
Property.Works,2015/7/31,315000,08/04/2015,Dead,20/01/2018,0
Property.Works,2016/2/26,546326,08/04/2015,Dead,20/01/2018,0
Propertyflock,2014/7/10,299851,09/11/2011,Dead,17/01/2017,0
Propertyflock,2012/6/7,200000,09/11/2011,Dead,17/01/2017,0
Proppio,2013/9/12,225000,19/11/2012,Dead,07/01/2020,0
Proppio,2015/5/8,215640,19/11/2012,Dead,07/01/2020,0
Prosonix,2011/6/29,6427966,18/01/2006,Exited,15/05/2015,100000000
Prosonix,2014/4/24,57308,18/01/2006,Exited,15/05/2015,100000000
Prosonix,2012/5/21,5000000,18/01/2006,Exited,15/05/2015,100000000
Protectapak,2015/6/29,60000,11/06/2008,Dead,26/03/2019,0
Provenance,2017/7/11,2542640,29/04/2016,Dead,17/04/2020,0
Provenance,2017/7/11,2542640,24/04/2006,Dead,13/10/2016,0
Provenance,2019/6/26,301984,29/04/2016,Dead,17/04/2020,0
Provenance,2019/6/26,301984,24/04/2006,Dead,13/10/2016,0
Provision Tracker,2016/2/25,25376,17/03/2015,Dead,18/05/2017,0
Proxly,2013/10/5,108350,13/03/2012,Dead,30/08/2016,0
Proxly,2012/6/29,20000,13/03/2012,Dead,30/08/2016,0
Psonar,2011/3/30,124008,03/06/2008,Dead,20/11/2017,0
PubCheckIn,2014/9/4,25000,09/08/2013,Dead,29/08/2017,0
Publification,2011/6/29,14998,27/04/2011,Dead,01/11/2016,0
Publiki,2015/9/7,30627,18/06/2015,Dead,04/12/2018,0
Pull'd,2015/5/7,102280,12/02/2014,Dead,07/03/2019,0
Pull'd,2014/8/5,173412,12/02/2014,Dead,07/03/2019,0
Pulmagen Therapeutics,2014/6/30,1231338,16/07/2008,Dead,09/11/2018,0
Pulmorphix,2014/4/7,124909,08/07/2013,Dead,29/03/2016,0
Punch Foods,2015/7/7,37500,22/07/2013,Dead,17/04/2018,0
Pure Benefits,2016/7/22,212498,08/05/2012,Dead,30/11/2018,0
Pure Benefits,2017/6/20,399996,08/05/2012,Dead,30/11/2018,0
Pure Fundraising,2011/3/16,22500,12/07/2002,Dead,31/07/2017,0
Pure Global,2011/4/8,173095,17/07/2003,Dead,18/06/2014,0
Pure Global,2012/2/8,123390,17/07/2003,Dead,18/06/2014,0
Pure Global,2010/10/31,107257,17/07/2003,Dead,18/06/2014,0
PureIntuitive,2014/11/7,10002,19/06/2012,Dead,28/10/2019,0
Puridify,2015/10/21,2179999,15/03/2013,Exited,28/11/2017,14786295
Puridify,2014/5/27,850000,15/03/2013,Exited,28/11/2017,14786295
Purity Network,2016/4/7,100000,29/06/2015,Dead,01/08/2016,0
Purple Harry,2014/1/8,80310,13/01/2011,Dead,21/08/2018,0
Purple Leaf,2016/10/20,50000,10/11/2015,Dead,21/08/2019,0
