Company name,Deal date,Investment amount,Incorporation date,Current stage,Exit date,Exit price
New Generation Biogas,2013/11/4,288799,20/08/2009,Dead,13/03/2017,0
New Generation Biogas,2014/9/2,99401,20/08/2009,Dead,13/03/2017,0
NewVoiceMedia,2014/7/9,32825828,23/07/1998,Exited,20/09/2018,263749447.1
NewVoiceMedia,2010/5/28,3235022,23/07/1998,Exited,20/09/2018,263749447.1
NewVoiceMedia,2011/7/27,2471747,23/07/1998,Exited,20/09/2018,263749447.1
NewVoiceMedia,2013/9/19,19611339,23/07/1998,Exited,20/09/2018,263749447.1
NewVoiceMedia,2016/1/28,19607885,23/07/1998,Exited,20/09/2018,263749447.1
NewVoiceMedia,2018/3/27,116512,23/07/1998,Exited,20/09/2018,263749447.1
NewsBase,2015/12/7,97996,28/02/1995,Dead,04/02/2020,0
Next Generation Data,2011/5/10,2734578,01/03/2007,Exited,07/07/2016,100000000
