Beauhurst company URL,Beauhurst deal URL,Company name,Deal date,Verified investment amount (converted to GBP),Amount raised (converted to GBP)
https://platform.beauhurst.com/company/ptsbrp/,https://platform.beauhurst.com/transaction/fundraising/ff7i/,Mirriad,2015/5/19,2448885,2448885.05
https://platform.beauhurst.com/company/fsp32y/,https://platform.beauhurst.com/transaction/fundraising/j87a/,Tagstr,2015/6/25,559200,635129.0016
https://platform.beauhurst.com/company/fsp32y/,https://platform.beauhurst.com/transaction/fundraising/zfah/,Tagstr,2014/7/14,914760,800000
https://platform.beauhurst.com/company/q9jkqw/,https://platform.beauhurst.com/transaction/fundraising/wrgc/,Positive Cashflow Finance,2007/12/5,,27000000
https://platform.beauhurst.com/company/9k5wtw/,https://platform.beauhurst.com/transaction/fundraising/wzqk/,90 Minutes,2014/4/21,350000,350000
https://platform.beauhurst.com/company/9k5wtw/,https://platform.beauhurst.com/transaction/fundraising/8qru/,90 Minutes,2015/3/27,40000,40000
https://platform.beauhurst.com/company/fgx2ji/,https://platform.beauhurst.com/transaction/fundraising/7hqu/,Match Capital,2014/6/30,208233,208233.42
https://platform.beauhurst.com/company/cgjbnr/,https://platform.beauhurst.com/transaction/fundraising/v2ev/,10 Digital Media,2014/4/23,,2200000
https://platform.beauhurst.com/company/cgjbnr/,https://platform.beauhurst.com/transaction/fundraising/b3wz/,10 Digital Media,2012/4/9,,495000
https://platform.beauhurst.com/company/3443eq/,https://platform.beauhurst.com/transaction/fundraising/iuw8/,Fantoo,2012/10/1,27500,27500
https://platform.beauhurst.com/company/3443eq/,https://platform.beauhurst.com/transaction/fundraising/f728/,Fantoo,2015/5/15,23075,25000
https://platform.beauhurst.com/company/7hmryv/,https://platform.beauhurst.com/transaction/fundraising/xyjv/,LivingLens,2014/2/1,64994,60000
https://platform.beauhurst.com/company/7hmryv/,https://platform.beauhurst.com/transaction/fundraising/wyfq/,LivingLens,2014/9/18,205292,206000
https://platform.beauhurst.com/company/7hmryv/,https://platform.beauhurst.com/transaction/fundraising/7u4i/,LivingLens,2015/8/11,999998,1000000
https://platform.beauhurst.com/company/wm4jbv/,https://platform.beauhurst.com/transaction/fundraising/87zi/,StudentFunder,2014/8/11,524985,524985
