Beauhurst URL,Company name,Companies House Number,Incorporation date,Current Stage of Evolution,Date of the company's exit or death,Exit price
https://platform.beauhurst.com/company/7c3hz9/,UltraSoC,5561843,13/09/2005,Exited,23/06/2020,
https://platform.beauhurst.com/company/j49b5w/,Swiftkey,6671487,13/08/2008,Exited,02/02/2016,173465999.6
https://platform.beauhurst.com/company/aujx9m/,PrismaStar,6777464,19/12/2008,Exited,09/12/2014,
https://platform.beauhurst.com/company/gjv2q7/,Elonics,SC256532,24/09/2003,Dead,07/01/2016,0
https://platform.beauhurst.com/company/zyxijw/,Molplex,7006916,02/09/2009,Dead,12/07/2016,0
https://platform.beauhurst.com/company/n437hg/,CruiseCompare.co.uk,7325968,26/07/2010,Dead,04/12/2014,0
https://platform.beauhurst.com/company/dschqv/,Vega-Chi,6803184,27/01/2009,Exited,07/08/2014,
https://platform.beauhurst.com/company/kven5j/,Microvisk Technologies,5035044,05/02/2004,Dead,16/11/2016,0
https://platform.beauhurst.com/company/fxpdhs/,PhosphonicS,4829817,11/07/2003,Exited,12/01/2017,
https://platform.beauhurst.com/company/h2xmq4/,Venn Music,7496531,18/01/2011,Dead,29/02/2016,0
https://platform.beauhurst.com/company/tn8x5b/,Intelligent Orthopaedics,4504094,06/08/2002,Exited,01/07/2015,
https://platform.beauhurst.com/company/a2qz24/,MatsSoft,3662618,05/11/1998,Exited,07/08/2017,10875000
https://platform.beauhurst.com/company/tj8hiq/,Simple Audio,SC335845,07/01/2008,Exited,15/02/2013,
https://platform.beauhurst.com/company/y5inrf/,CIQUAL,SC330525,06/09/2007,Exited,04/06/2019,
https://platform.beauhurst.com/company/py658g/,Turbo Drinks,7203846,25/03/2010,Exited,17/01/2012,7000000
https://platform.beauhurst.com/company/uas4xa/,AudioGo,7279868,10/06/2010,Dead,07/01/2016,0
https://platform.beauhurst.com/company/86zaxq/,Magiq,4056232,21/08/2000,Exited,22/12/2014,7500000
https://platform.beauhurst.com/company/se4mia/,Biopta,SC231284,09/05/2002,Exited,24/11/2015,
https://platform.beauhurst.com/company/dxcxrs/,Borro,6573695,23/04/2008,Exited,16/11/2017,
https://platform.beauhurst.com/company/2yqnaw/,Metaforic,SC300538,10/04/2006,Exited,07/04/2014,6984162.815
https://platform.beauhurst.com/company/aajhtu/,On-Sun Systems,7138814,28/01/2010,Dead,07/08/2015,0
https://platform.beauhurst.com/company/gnvjrk/,Enecsys,4832321,14/07/2003,Dead,07/01/2016,0
https://platform.beauhurst.com/company/3jk427/,Burcote Wind,6711329,30/09/2008,Dead,01/03/2019,0
https://platform.beauhurst.com/company/hurd8m/,Wonga,5897177,04/08/2006,Dead,20/12/2019,0
https://platform.beauhurst.com/company/5xavyx/,Zero C,5763812,31/03/2006,Exited,07/04/2015,
https://platform.beauhurst.com/company/xeta2u/,Continental Brands,7338374,06/08/2010,Dead,13/08/2015,0
https://platform.beauhurst.com/company/drer8k/,Factonomy,SC242571,20/01/2003,Exited,15/10/2014,
https://platform.beauhurst.com/company/vfp8a8/,StylistPick,7339143,06/08/2010,Exited,30/07/2013,
https://platform.beauhurst.com/company/g8qf4t/,Glamorous Travel,7455584,30/11/2010,Dead,02/03/2017,0
https://platform.beauhurst.com/company/9x6p7y/,4energy,5522472,29/07/2005,Dead,12/05/2017,0
https://platform.beauhurst.com/company/vjwnd4/,Blipfoto,SC327482,10/07/2007,Exited,01/04/2015,
https://platform.beauhurst.com/company/gijvez/,Lumora,4569106,22/10/2002,Exited,15/09/2015,
https://platform.beauhurst.com/company/pe56ei/,Cognia,4623599,23/12/2002,Exited,17/08/2017,7886696
https://platform.beauhurst.com/company/8534gp/,Sphinx Medical,SC379449,01/06/2010,Exited,08/09/2015,
https://platform.beauhurst.com/company/ijm5e9/,Propeller Holdings,6441215,29/11/2007,Dead,20/05/2015,0
https://platform.beauhurst.com/company/syahcn/,ACAL Energy,5209861,19/08/2004,Dead,18/07/2017,0
https://platform.beauhurst.com/company/dktk4z/,Addiply,8476427,,Dead,21/07/2017,0
https://platform.beauhurst.com/company/bax83g/,Blinkbox Music,5717612,22/02/2006,Exited,12/06/2012,10800000
https://platform.beauhurst.com/company/75vamq/,Shazam,3998831,22/05/2000,Exited,11/12/2017,300000000
https://platform.beauhurst.com/company/jq5isj/,Neul,7371283,09/09/2010,Exited,22/09/2014,15276800
https://platform.beauhurst.com/company/k27sv2/,Autology World,5345104,27/01/2005,Dead,22/10/2018,0
https://platform.beauhurst.com/company/r78pu5/,Osprey Publishing,3471853,31/12/1968,Exited,22/12/2014,
https://platform.beauhurst.com/company/hvag6v/,Dene Group,6230180,27/04/2007,Dead,06/01/2016,0
https://platform.beauhurst.com/company/zs2bvj/,Haemostatix,4698400,14/03/2003,Exited,05/05/2016,28000000
https://platform.beauhurst.com/company/mz4wut/,Avente Medical Products,7171984,01/03/2010,Dead,02/02/2012,0
https://platform.beauhurst.com/company/4cm7s2/,SB Hygiene,6805008,29/01/2009,Exited,14/12/2017,
https://platform.beauhurst.com/company/c6cn3f/,Audacious,7468354,13/12/2010,Dead,06/08/2015,0
https://platform.beauhurst.com/company/efehuq/,Exosect,3762879,29/04/1999,Dead,30/11/2018,0
https://platform.beauhurst.com/company/yhye6c/,ACS Building & Maintenance,4177888,12/03/2001,Dead,11/10/2016,0
https://platform.beauhurst.com/company/67ktfd/,Redkite,6913742,22/05/2009,Exited,05/11/2012,
https://platform.beauhurst.com/company/z6a5s8/,4th Aspect,7189989,16/03/2010,Dead,07/01/2016,0
https://platform.beauhurst.com/company/a8zj3k/,Reinnervate,4468747,25/06/2002,Exited,29/09/2014,2500000
https://platform.beauhurst.com/company/2rheur/,Pure Global,4835820,17/07/2003,Dead,18/06/2014,0
https://platform.beauhurst.com/company/9cwb3p/,Convergence Pharmaceuticals,7596438,04/10/2010,Exited,12/01/2015,131825799.9
