uni_name
Massachusetts Institute of Technology (MIT)
Stanford University
Harvard University
University of Oxford
California Institute of Technology (Caltech)
ETH Zurich (Swiss Federal Institute of Technology)
University of Cambridge
UCL (University College London)
Imperial College London
University of Chicago
Nanyang Technological University (NTU)
National University of Singapore (NUS)
Princeton University
Cornell University
University of Pennsylvania
Tsinghua University
Yale University
Columbia University
Ecole Polytechnique Fédérale de Lausanne (EPFL)
University of Edinburgh
University of Michigan
Peking University
The University of Tokyo
Johns Hopkins University
Duke University
University of Hong Kong (HKU)
The University of Manchester
"University of California, Berkeley (UCB)"
Australian National University (ANU)
University of Toronto
Northwestern University
The Hong Kong University of Science and Technology (HKUST)
King's College London (KCL)
Kyoto University
McGill University
"University of California, Los Angeles (UCLA)"
Seoul National University (SNU)
The University of Melbourne
New York University (NYU)
Fudan University
KAIST - Korea Advanced Institute of Science and Technology
The University of Sydney
The University of New South Wales (UNSW)
London School of Economics and Political Science (LSE)
"University of California, San Diego (UCSD)"
The Chinese University of Hong Kong (CUHK)
The University of Queensland (UQ)
Carnegie Mellon University
University of Bristol
Delft University of Technology
University of British Columbia
City University of Hong Kong
Université PSL (Paris Sciences & Lettres)
Zhejiang University
Technische Universität München
University of Wisconsin-Madison
Brown University
Monash University
Tokyo Institute of Technology
Ecole Polytechnique
Shanghai Jiao Tong University
The University of Warwick
Ludwig-Maximilians-Universität München
University of Amsterdam
University of Texas at Austin
Ruprecht-Karls-Universität Heidelberg
University of Glasgow
University of Washington
National Taiwan University (NTU)
Universiti Malaya (UM)
Osaka University
Georgia Institute of Technology (Georgia Tech)
Universidad de Buenos Aires
University of Illinois at Urbana-Champaign
University of Zurich
Sorbonne University
Durham University
The University of Sheffield
Katholieke Universiteit Leuven
University of Birmingham
University of Copenhagen
Tohoku University
Korea University
The University of Auckland
Lomonosov Moscow State University
Rice University
The University of Western Australia (UWA)
Pohang University of Science and Technology (POSTECH)
University of Science and Technology of China
"University of North Carolina, Chapel Hill"
The Hong Kong Polytechnic University
Lund University
Pennsylvania State University
University of Leeds
Sungkyunkwan University
The University of Nottingham
University of Southampton
Boston University
"KTH, Royal Institute of Technology"
University of St Andrews
